Open,High,Low,Close,Volume,Dividends,Stock Splits,Date,name,Returns
85.37,85.42,84.7,84.89,7996003,0.0,0.0,2022-11-14,GAIL,-0.72
84.89,86.72,84.84,86.62,8247787,0.0,0.0,2022-11-15,GAIL,1.73
86.72,87.93,86.0,87.2,10223428,0.0,0.0,2022-11-16,GAIL,0.58
87.2,87.59,86.09,86.87,4925266,0.0,0.0,2022-11-17,GAIL,-0.33
87.35,88.21,86.53,87.01,14475534,0.0,0.0,2022-11-18,GAIL,0.14
87.01,87.35,86.24,86.38,7845740,0.0,0.0,2022-11-21,GAIL,-0.63
87.11,87.93,86.24,87.78,18535213,0.0,0.0,2022-11-22,GAIL,1.4
88.07,88.07,86.72,87.49,8624491,0.0,0.0,2022-11-23,GAIL,-0.29
87.59,89.08,87.44,88.74,14011196,0.0,0.0,2022-11-24,GAIL,1.25
89.13,90.43,88.41,89.85,12249200,0.0,0.0,2022-11-25,GAIL,1.11
89.9,90.38,89.08,89.37,11371642,0.0,0.0,2022-11-28,GAIL,-0.48
89.61,91.2,88.7,90.72,18484964,0.0,0.0,2022-11-29,GAIL,1.35
91.06,91.49,90.38,91.3,18501717,0.0,0.0,2022-11-30,GAIL,0.58
91.78,91.92,90.09,90.24,9433858,0.0,0.0,2022-12-01,GAIL,-1.06
90.58,90.72,89.66,89.8,9494016,0.0,0.0,2022-12-02,GAIL,-0.44
90.09,90.48,89.27,89.76,15148621,0.0,0.0,2022-12-05,GAIL,-0.04
90.09,90.09,88.84,89.61,9031442,0.0,0.0,2022-12-06,GAIL,-0.15
89.42,90.62,89.42,89.85,11134858,0.0,0.0,2022-12-07,GAIL,0.24
89.85,90.05,89.08,89.18,10614975,0.0,0.0,2022-12-08,GAIL,-0.67
89.66,90.19,87.01,87.54,15835417,0.0,0.0,2022-12-09,GAIL,-1.64
87.78,90.0,86.91,89.42,15920076,0.0,0.0,2022-12-12,GAIL,1.88
89.76,90.58,89.32,89.85,11215454,0.0,0.0,2022-12-13,GAIL,0.43
89.85,92.79,89.76,92.5,22598875,0.0,0.0,2022-12-14,GAIL,2.65
92.65,94.82,91.97,93.8,28006772,0.0,0.0,2022-12-15,GAIL,1.3
93.66,96.55,93.08,93.23,35484499,0.0,0.0,2022-12-16,GAIL,-0.57
93.61,94.38,92.41,93.85,13524731,0.0,0.0,2022-12-19,GAIL,0.62
93.47,94.62,92.5,94.33,11062080,0.0,0.0,2022-12-20,GAIL,0.48
94.62,94.91,91.06,91.64,14279180,0.0,0.0,2022-12-21,GAIL,-2.69
91.68,92.5,89.42,90.72,12024065,0.0,0.0,2022-12-22,GAIL,-0.92
89.61,90.24,87.68,88.21,22444602,0.0,0.0,2022-12-23,GAIL,-2.51
88.17,91.15,87.35,90.96,8024641,0.0,0.0,2022-12-26,GAIL,2.75
91.44,91.83,90.33,91.54,6330028,0.0,0.0,2022-12-27,GAIL,0.58
91.35,92.84,90.82,92.31,9873070,0.0,0.0,2022-12-28,GAIL,0.77
91.64,92.84,91.3,92.45,10702585,0.0,0.0,2022-12-29,GAIL,0.14
93.27,93.76,92.36,92.55,7280552,0.0,0.0,2022-12-30,GAIL,0.1
92.98,93.27,92.02,93.08,9433822,0.0,0.0,2023-01-02,GAIL,0.53
93.18,93.85,92.89,93.27,6053619,0.0,0.0,2023-01-03,GAIL,0.19
93.56,94.04,91.68,91.92,9398653,0.0,0.0,2023-01-04,GAIL,-1.35
92.41,93.95,91.68,93.8,12382060,0.0,0.0,2023-01-05,GAIL,1.88
94.14,95.15,93.32,93.71,14032853,0.0,0.0,2023-01-06,GAIL,-0.09
94.38,95.35,94.29,94.86,12464665,0.0,0.0,2023-01-09,GAIL,1.15
94.43,95.35,93.95,94.53,9211811,0.0,0.0,2023-01-10,GAIL,-0.33
